Price (₹),Standard (40%) – Profit (₹),Damon (50% after ₹14k to Aman) – Profit (₹),Invisalign Lite (₹86k cost) – Profit (₹),Invisalign Moderate (₹115k cost) – Profit (₹),Invisalign Comprehensive (₹138k cost) – Profit (₹),Std Margin %,Damon Margin %,Lite Margin %,Moderate Margin %,Comprehensive Margin %
40000,16000,13000,-46000,-75000,-98000,40.0,32.5,-115.0,-187.5,-245.0
50000,20000,18000,-36000,-65000,-88000,40.0,36.0,-72.0,-130.0,-176.0
60000,24000,23000,-26000,-55000,-78000,40.0,38.3,-43.3,-91.7,-130.0
70000,28000,28000,-16000,-45000,-68000,40.0,40.0,-22.9,-64.3,-97.1
80000,32000,33000,-6000,-35000,-58000,40.0,41.2,-7.5,-43.8,-72.5
90000,36000,38000,4000,-25000,-48000,40.0,42.2,4.4,-27.8,-53.3
100000,40000,43000,14000,-15000,-38000,40.0,43.0,14.0,-15.0,-38.0
110000,44000,48000,24000,-5000,-28000,40.0,43.6,21.8,-4.5,-25.5
120000,48000,53000,34000,5000,-18000,40.0,44.2,28.3,4.2,-15.0
130000,52000,58000,44000,15000,-8000,40.0,44.6,33.8,11.5,-6.2
140000,56000,63000,54000,25000,2000,40.0,45.0,38.6,17.9,1.4
150000,60000,68000,64000,35000,12000,40.0,45.3,42.7,23.3,8.0
160000,64000,73000,74000,45000,22000,40.0,45.6,46.2,28.1,13.8
170000,68000,78000,84000,55000,32000,40.0,45.9,49.4,32.4,18.8
180000,72000,83000,94000,65000,42000,40.0,46.1,52.2,36.1,23.3
190000,76000,88000,104000,75000,52000,40.0,46.3,54.7,39.5,27.4
200000,80000,93000,114000,85000,62000,40.0,46.5,57.0,42.5,31.0
210000,84000,98000,124000,95000,72000,40.0,46.7,59.0,45.2,34.3
220000,88000,103000,134000,105000,82000,40.0,46.8,60.9,47.7,37.3
230000,92000,108000,144000,115000,92000,40.0,47.0,62.6,50.0,40.0
240000,96000,113000,154000,125000,102000,40.0,47.1,64.2,52.1,42.5
250000,100000,118000,164000,135000,112000,40.0,47.2,65.6,54.0,44.8
